Strategy,Date,Symbol,Action,Quantity,Price,Reason
mean_reversion,2023-04-04 00:00:00+09:00,1360.T,BUY,127,781.5,N/A
mean_reversion,2023-04-13 00:00:00+09:00,1360.T,BUY,126,788.0999755859375,N/A
mean_reversion,2023-04-14 00:00:00+09:00,1360.T,BUY,130,769.0,N/A
mean_reversion,2023-04-17 00:00:00+09:00,1360.T,BUY,130,766.5,N/A
mean_reversion,2023-04-18 00:00:00+09:00,1360.T,BUY,131,759.0,N/A
mean_reversion,2023-04-25 00:00:00+09:00,1360.T,BUY,131,760.0999755859375,N/A
mean_reversion,2023-04-26 00:00:00+09:00,1360.T,BUY,129,771.0,N/A
mean_reversion,2023-04-27 00:00:00+09:00,1360.T,BUY,129,769.9000244140625,N/A
mean_reversion,2023-04-28 00:00:00+09:00,1360.T,BUY,133,747.5,N/A
mean_reversion,2023-05-01 00:00:00+09:00,1360.T,BUY,136,733.2000122070312,N/A
mean_reversion,2023-07-10 00:00:00+09:00,1360.T,SELL,170,587.4000244140625,N/A
mean_reversion,2023-07-12 00:00:00+09:00,1579.T,BUY,4,20545.0,N/A
mean_reversion,2023-07-12 00:00:00+09:00,1360.T,SELL,167,598.0,N/A
mean_reversion,2023-08-01 00:00:00+09:00,1360.T,BUY,184,541.7000122070312,N/A
mean_reversion,2023-08-21 00:00:00+09:00,1360.T,SELL,164,606.7999877929688,N/A
mean_reversion,2023-08-22 00:00:00+09:00,1579.T,BUY,4,20400.0,N/A
mean_reversion,2023-08-22 00:00:00+09:00,1360.T,SELL,168,594.5,N/A
mean_reversion,2023-09-06 00:00:00+09:00,1579.T,SELL,4,22185.0,N/A
mean_reversion,2023-09-06 00:00:00+09:00,1579.T,SELL,4,22185.0,N/A
mean_reversion,2023-09-06 00:00:00+09:00,1360.T,BUY,183,543.9000244140625,N/A
mean_reversion,2023-09-07 00:00:00+09:00,1360.T,BUY,181,551.2999877929688,N/A
mean_reversion,2023-09-14 00:00:00+09:00,1360.T,BUY,183,543.5999755859375,N/A
mean_reversion,2023-10-03 00:00:00+09:00,1360.T,SELL,165,604.5999755859375,N/A
mean_reversion,2023-10-04 00:00:00+09:00,1579.T,BUY,5,18925.0,N/A
mean_reversion,2023-10-04 00:00:00+09:00,1360.T,SELL,158,631.4000244140625,N/A
mean_reversion,2023-10-04 00:00:00+09:00,1360.T,SELL,158,631.4000244140625,N/A
mean_reversion,2023-10-05 00:00:00+09:00,1579.T,BUY,5,19580.0,N/A
mean_reversion,2023-10-05 00:00:00+09:00,1360.T,SELL,164,609.0,N/A
mean_reversion,2023-10-06 00:00:00+09:00,1579.T,BUY,5,19515.0,N/A
mean_reversion,2023-10-06 00:00:00+09:00,1360.T,SELL,163,610.5,N/A
mean_reversion,2023-11-06 00:00:00+09:00,1360.T,BUY,184,542.0,N/A
mean_reversion,2023-11-15 00:00:00+09:00,1579.T,SELL,4,22640.0,N/A
mean_reversion,2023-11-15 00:00:00+09:00,1579.T,SELL,4,22640.0,N/A
mean_reversion,2023-11-15 00:00:00+09:00,1360.T,BUY,194,513.9000244140625,N/A
mean_reversion,2023-11-16 00:00:00+09:00,1579.T,SELL,4,22480.0,N/A
mean_reversion,2023-11-16 00:00:00+09:00,1360.T,BUY,193,517.7000122070312,N/A
mean_reversion,2023-11-17 00:00:00+09:00,1360.T,BUY,195,512.7000122070312,N/A
mean_reversion,2023-12-08 00:00:00+09:00,1579.T,BUY,4,20980.0,N/A
mean_reversion,2023-12-08 00:00:00+09:00,1360.T,SELL,181,551.7999877929688,N/A
mean_reversion,2024-01-10 00:00:00+09:00,1579.T,SELL,4,23925.0,N/A
mean_reversion,2024-01-10 00:00:00+09:00,1360.T,BUY,208,479.0,N/A
mean_reversion,2024-01-10 00:00:00+09:00,1360.T,BUY,208,479.0,N/A
mean_reversion,2024-01-12 00:00:00+09:00,1579.T,SELL,3,25450.0,N/A
mean_reversion,2024-04-16 00:00:00+09:00,1360.T,SELL,271,367.70001220703125,N/A
mean_reversion,2024-04-16 00:00:00+09:00,1360.T,SELL,271,367.70001220703125,N/A
